Player,Country,Position,Goals,Assists_x,Minutes Played,Assists_y,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Merchas Doski,IRQ,DF,0.0,0.0,303.0,0,0,1,0,0,1,0,0.02,0x,0,141,115,82,3,67,0,13,23,1,100,0,4,65,25,3,8,1,0,0,0,,,,88,15,45,28,22,66,1,11,58,298,6.21,307,128,31441.23
Merih Demiral,TUR,DF,0.0,0.0,208.0,0,2,6,0,3,3,2,0.24,0x,0,124,119,96,1,0,0,5,40,2,100,0,3,9,3,2,1,0,0,0,3,,,,36,17,4,15,19,17,2,10,26,273,4.05,153,57,21211.19
Mert Gunok,TUR,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Mert Muldur,TUR,DF,0.0,0.0,132.0,0,0,3,0,3,0,3,0.22,0x,0,81,72,89,6,17,0,4,100,0,0,0,1,10,5,1,2,0,0,0,0,,,,52,20,24,8,8,44,2,27,26,173,7.5,145,57,15133.29
Meschack Elia,COD,FW,0.0,1.0,59.0,1,2,2,0,0,2,0,0.05,0x,0,14,13,93,2,0,0,5,60,0,0,0,1,25,3,2,0,0,0,0,0,,,,14,6,8,0,3,11,3,12,9,41,3.31,86,41,6530.78
Meshaal Barsham,QAT,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Michael Boxall,NZL,DF,0.0,0.0,237.0,0,0,0,0,0,0,0,0.0,0x,0,115,104,90,1,100,0,0,0,0,0,0,4,21,12,2,2,0,0,0,0,,,,26,0,0,26,9,17,0,3,18,240,5.59,181,75,22180.78
Michael Gregoritsch,AUT,FW,0.0,1.0,207.0,1,0,1,0,1,0,1,0.18,0x,0,29,20,69,0,0,0,2,0,0,0,0,9,110,3,1,1,0,0,0,2,,,,35,23,12,0,25,10,1,21,25,62,4.45,213,86,20132.08
Michael Olise,FRA,FW,0.0,5.0,617.0,5,5,17,0,8,9,0,1.84,0x,24,360,311,86,20,25,16,26,73,2,100,0,35,235,21,4,16,1,0,0,0,,,,312,55,172,85,204,108,8,116,206,823,7.13,917,338,73047.22
Michael Svoboda,AUT,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Michael Woud,NZL,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Michal Sadilek,CZE,MF,1.0,0.0,204.0,0,3,7,14,5,2,1,0.7,1.42x,5,84,69,82,11,18,0,4,50,2,100,0,10,75,4,0,3,0,0,0,0,,,,67,15,26,26,35,32,2,16,36,201,7.16,385,125,24212.55
Michel Aebischer,SUI,MF,0.0,0.0,176.0,0,1,2,0,2,0,1,0.34,0x,5,76,66,87,6,0,2,3,33,0,0,0,8,52,6,3,2,0,0,0,0,,,,99,24,52,23,59,40,2,27,30,173,4.86,321,117,21047.55
Micky Van De Ven,NED,DF,0.0,0.0,291.0,0,1,3,0,2,1,2,0.13,0x,0,117,105,90,3,0,1,3,67,0,0,0,8,87,13,5,1,1,0,0,0,,,,18,8,2,8,5,13,3,11,24,242,4.22,245,92,27342.03
Miguel Almiron,PAR,MF,0.0,0.0,306.0,0,0,4,0,1,3,0,0.11,0x,2,67,49,73,4,0,6,6,67,0,0,0,17,123,21,2,7,1,1,0,0,,,,82,13,53,16,32,50,2,26,54,183,6.51,357,129,33177.48
Mike Maignan,FRA,GK,0.0,0.0,707.0,0,0,0,0,0,0,0,0.0,0x,0,210,164,78,0,0,0,3,33,1,100,0,0,0,0,0,2,0,0,0,0,11.0,80.0,64.0,46,0,0,46,32,14,0,0,8,401,3.18,97,12,37516.54
Mike Penders,BEL,GK,,,,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Mikel Merino,ESP,MF,2.0,0.0,200.0,0,3,4,50,4,0,0,1.34,1.49x,0,82,72,88,1,0,2,3,67,1,100,0,20,85,8,5,5,0,0,0,0,,,,103,35,58,10,68,35,3,31,47,182,7.75,442,107,24908.08
Mikel Oyarzabal,ESP,FW,5.0,1.0,599.0,1,11,22,23,16,6,5,4.29,1.17x,0,132,112,85,8,13,2,4,25,2,50,0,53,236,13,3,4,0,0,0,0,,,,274,142,118,14,224,50,13,111,117,353,5.91,659,285,58923.14
Milad Mohammadi,IRN,DF,0.0,0.0,235.0,0,1,1,0,1,0,0,0.06,0x,0,80,66,83,4,0,6,4,75,0,0,0,23,62,22,1,1,0,0,0,2,,,,57,31,18,8,20,37,4,12,26,174,6.7,299,142,26000.62
Miles Robinson,USA,DF,0.0,0.0,104.0,0,0,1,0,1,0,1,0.06,0x,0,58,54,93,0,0,0,0,0,1,100,0,6,11,5,2,0,0,0,0,0,,,,15,0,0,15,10,5,0,1,18,129,1.36,134,43,11909.05
Milos Degenek,AUS,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Miro Muheim,SUI,DF,0.0,0.0,115.0,0,0,0,0,0,0,0,0.0,0x,0,40,31,78,3,0,0,5,20,0,0,1,3,16,1,1,3,1,0,0,0,,,,30,9,13,8,2,28,0,6,9,77,3.23,150,44,12070.06
